,Scheme Code,ISIN Div Payout/ ISIN Growth,ISIN Div Reinvestment,Scheme Name,Net Asset Value,Date
0,119551,INF209KA12Z1,INF209KA13Z9,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,112.1392,24-May-2023
1,119552,INF209K01YM2,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,115.0102,24-May-2023
2,119553,INF209K01YO8,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,113.0762,24-May-2023
3,108272,INF209K01LX6,INF209KA11Z3,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,158.6757,24-May-2023
4,110282,INF209K01LU2,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,111.7019,24-May-2023
5,108274,INF209K01LN7,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,109.9346,24-May-2023
6,110490,INF209K01LR8,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,111.5602,24-May-2023
7,106157,INF209K01LS6,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,112.7306,24-May-2023
8,108273,INF209K01LV0,-,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,314.0751,24-May-2023
9,103176,INF209K01LT4,-,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,471.467,24-May-2023
10,119550,INF209K01YN0,-,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,323.6426,24-May-2023
11,120437,-,INF846K01CU0,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,1038.9951,24-May-2023
12,120438,INF846K01CR6,-,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,2324.8421,24-May-2023
13,120439,INF846K01CT2,INF846K01CS4,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,1039.5867,24-May-2023
14,120436,INF846K01CV8,INF846K01CW6,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,1038.0677,24-May-2023
15,117447,-,INF846K01CC8,Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,1038.9784,24-May-2023
16,117446,INF846K01CB0,-,Axis Banking & PSU Debt Fund - Regular Plan - Growth option,2268.0182,24-May-2023
17,117449,INF846K01CF1,INF846K01CG9,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,1039.3392,24-May-2023
18,117448,INF846K01CD6,INF846K01CE4,Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,1038.0486,24-May-2023
19,121936,INF194K019M8,-,BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW,12.1080,24-May-2023
20,127471,-,INF194KA1JD3,BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW,10.4753,24-May-2023
21,121934,-,INF194K010N5,BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW,10.4547,24-May-2023
22,121279,INF194K015G8,-,BANDHAN Banking & PSU Debt Fund - Direct Growth,21.6989,24-May-2023
23,121281,INF194K016G6,INF194K017G4,BANDHAN Banking & PSU Debt Fund - Direct IDCW,11.4147,24-May-2023
24,121935,-,INF194K011N3,BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW,10.4892,24-May-2023
25,121938,INF194K018M0,-,BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW,10.8736,24-May-2023
26,121933,INF194K015M6,-,BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW,11.1600,24-May-2023
27,127470,-,INF194KA1JC5,BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW,10.8771,24-May-2023
28,121931,-,INF194K016M4,BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW,10.6105,24-May-2023
29,121280,INF194K01SN6,-,BANDHAN Banking & PSU Debt Fund - Regular Growth,21.2183,24-May-2023
30,121282,INF194K01SO4,INF194K012D2,BANDHAN Banking & PSU Debt Fund - Regular IDCW,11.4578,24-May-2023
31,121932,-,INF194K017M2,BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW,10.7324,24-May-2023
32,121937,INF194K014M9,-,BANDHAN Banking & PSU Debt Fund - Regular Quarterly IDCW,10.7804,24-May-2023
33,148629,INF955L01KF1,INF955L01KG9,Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option,10.2424,24-May-2023
34,148628,INF955L01KC8,-,Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option,10.9931,24-May-2023
35,148630,INF955L01KD6,INF955L01KE4,Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option,10.3703,24-May-2023
36,148625,INF955L01JX6,-,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option,10.8832,24-May-2023
37,148626,INF955L01KA2,INF955L01KB0,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option,10.2085,24-May-2023
38,148627,INF955L01JY4,INF955L01JZ1,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option,10.2675,24-May-2023
39,150505,INF760K01KC4,-,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,10.4736,24-May-2023
40,150507,INF760K01KE0,INF760K01KD2,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,10.4734,24-May-2023
41,150503,INF760K01KF7,-,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,10.4514,24-May-2023
42,150504,INF760K01KH3,INF760K01KG5,Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),10.4515,24-May-2023
43,124175,INF740K01ZW2,-,DSP Banking & PSU Debt Fund - Direct Plan - Growth,21.1821,24-May-2023
44,124178,INF740K01A18,INF740K01A26,DSP Banking & PSU Debt Fund - Direct Plan - IDCW,10.3730,24-May-2023
45,124182,-,INF740KA1OF7,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,10.1598,24-May-2023
46,124176,INF740K01ZX0,INF740K01ZY8,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,10.2819,24-May-2023
47,124177,INF740K01ZZ5,INF740K01A00,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly ,10.3722,24-May-2023
48,124183,INF740KA1OG5,INF740KA1OH3,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,10.1755,24-May-2023
49,124172,INF740K01ZP6,-,DSP Banking & PSU Debt Fund - Regular Plan - Growth,20.5723,24-May-2023
50,124174,INF740K01ZU6,INF740K01ZV4,DSP Banking & PSU Debt Fund - Regular Plan - IDCW,10.3682,24-May-2023
51,124173,-,INF740KA1OI1,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,10.1596,24-May-2023
52,124180,INF740K01ZQ4,INF740K01ZR2,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,10.2740,24-May-2023
53,124181,INF740K01ZS0,INF740K01ZT8,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly ,10.3676,24-May-2023
54,124179,INF740KA1OJ9,INF740KA1OK7,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,10.1750,24-May-2023
55,140286,INF843K01FC8,-,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,21.8351,24-May-2023
56,140288,INF843K01FD6,INF843K01FE4,Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,18.3677,24-May-2023
57,140291,INF843K01FG9,-,Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,14.5854,24-May-2023
